standard_number,title,descriptive_title,year,id,source,detail_url,pdf_url
IS 10015 : Part 8,IS 10015 : Part 8 : 1983,IS 10015 : Part 8 : 1983,1983,17947,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10015+%3a+Part+8&id=17947,https://archive.org/search?query=title%3A%22IS%2010015%20%3A%20Part%208%22
IS 10016 : Part 1,IS 10016 : Part 1 : 1981,"IS 10016-2: Methods of test for polybutadiene rubbers, Part 2: Determination of ash",1981,950,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10016+%3a+Part+1&id=950,https://archive.org/download/gov.in.is.10016.2.1984/gov.in.is.10016.2.1984.pdf
IS 10016 : Part 2,IS 10016 : Part 2 : 1984,"IS 10016-2: Methods of test for polybutadiene rubbers, Part 2: Determination of ash",1984,947,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10016+%3a+Part+2&id=947,https://archive.org/download/gov.in.is.10016.2.1984/gov.in.is.10016.2.1984.pdf
IS 10016 : Part 4,IS 10016 : Part 4 : 1984,"IS 10016-2: Methods of test for polybutadiene rubbers, Part 2: Determination of ash",1984,948,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10016+%3a+Part+4&id=948,https://archive.org/download/gov.in.is.10016.2.1984/gov.in.is.10016.2.1984.pdf
IS 10016 : Part 5,IS 10016 : Part 5 : 1981,"IS 10016-2: Methods of test for polybutadiene rubbers, Part 2: Determination of ash",1981,951,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10016+%3a+Part+5&id=951,https://archive.org/download/gov.in.is.10016.2.1984/gov.in.is.10016.2.1984.pdf
IS 10016 : Part 6,IS 10016 : Part 6 : 2000,"IS 10016-2: Methods of test for polybutadiene rubbers, Part 2: Determination of ash",2000,949,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10016+%3a+Part+6&id=949,https://archive.org/download/gov.in.is.10016.2.1984/gov.in.is.10016.2.1984.pdf
IS 10017,IS 10017 : 1981,IS 10017 : 1981,1981,952,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10017&id=952,https://archive.org/search?query=title%3A%22IS%2010017%22
IS 10018,IS 10018 : 1981,IS 10018 : 1981,1981,953,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10018&id=953,https://archive.org/search?query=title%3A%22IS%2010018%22
IS 10019,IS 10019 : 1981,IS 10019 : 1981,1981,954,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10019&id=954,https://archive.org/search?query=title%3A%22IS%2010019%22
IS 1002,IS 1002 : 1956,IS 1002 : 1956,1956,17948,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+1002&id=17948,https://archive.org/search?query=title%3A%22IS%201002%22
IS 10020 : Part 4,IS 10020 : Part 4 : 1981,IS 10020 : Part 4 : 1981,1981,955,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10020+%3a+Part+4&id=955,https://archive.org/search?query=title%3A%22IS%2010020%20%3A%20Part%204%22
IS 10021,IS 10021 : 2000,IS 10021 : 2000,2000,956,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10021&id=956,https://archive.org/search?query=title%3A%22IS%2010021%22
